20170225022834,7/1 ARM,0.03625
20170225022834,5/1 ARM,0.035
20170225022834,30-Year Fixed-Rate Jumbo,0.04125
20170225022834,15-Year Fixed-Rate Jumbo,0.03875
20170225022834,7/1 ARM Jumbo,0.03375
20170225022834,30-Year Fixed Rate,0.0425
20170225022834,30-Year Fixed-Rate FHA,0.04125
20170225022834,30-Year Fixed-Rate VA,0.03875
20170225022834,15-Year Fixed Rate,0.035
20170225022834,7/1 ARM,0.03625
20170225022834,5/1 ARM,0.035
20170225022834,30-Year Fixed-Rate Jumbo,0.04125
20170225022834,15-Year Fixed-Rate Jumbo,0.03875
20170225022834,7/1 ARM Jumbo,0.03375
20170304024131,30-Year Fixed Rate,0.0425
20170304024131,30-Year Fixed-Rate FHA,0.04375
20170304024131,30-Year Fixed-Rate VA,0.04
20170304024131,15-Year Fixed Rate,0.03625
20170304024131,7/1 ARM,0.03875
20170304024131,5/1 ARM,0.03625
20170304024131,30-Year Fixed-Rate Jumbo,0.0425
20170304024131,15-Year Fixed-Rate Jumbo,0.04
20170304024131,7/1 ARM Jumbo,0.035
20170304024131,30-Year Fixed Rate,0.0425
20170304024131,30-Year Fixed-Rate FHA,0.04375
20170304024131,30-Year Fixed-Rate VA,0.04
20170304024131,15-Year Fixed Rate,0.03625
20170304024131,7/1 ARM,0.03875
20170304024131,5/1 ARM,0.03625
20170304024131,30-Year Fixed-Rate Jumbo,0.0425
20170304024131,15-Year Fixed-Rate Jumbo,0.04
20170304024131,7/1 ARM Jumbo,0.035
20170311031300,30-Year Fixed Rate,0.04375
20170311031300,30-Year Fixed-Rate FHA,0.045
20170311031300,30-Year Fixed-Rate VA,0.0425
20170311031300,15-Year Fixed Rate,0.0375
20170311031300,7/1 ARM,0.03875
20170311031300,5/1 ARM,0.0375
20170311031300,30-Year Fixed-Rate Jumbo,0.0425
20170311031300,15-Year Fixed-Rate Jumbo,0.04
20170311031300,7/1 ARM Jumbo,0.03625
20170311031300,30-Year Fixed Rate,0.04375
20170311031300,30-Year Fixed-Rate FHA,0.045
20170311031300,30-Year Fixed-Rate VA,0.0425
20170311031300,15-Year Fixed Rate,0.0375
20170311031300,7/1 ARM,0.03875
20170311031300,5/1 ARM,0.0375
20170311031300,30-Year Fixed-Rate Jumbo,0.0425
20170311031300,15-Year Fixed-Rate Jumbo,0.04
20170311031300,7/1 ARM Jumbo,0.03625
20170317110202,30-Year Fixed Rate,0.04375
20170317110202,30-Year Fixed-Rate FHA,0.045
20170317110202,30-Year Fixed-Rate VA,0.04125
20170317110202,15-Year Fixed Rate,0.03625
20170317110202,7/1 ARM,0.0375
20170317110202,5/1 ARM,0.03625
20170317110202,30-Year Fixed-Rate Jumbo,0.0425
20170317110202,15-Year Fixed-Rate Jumbo,0.04
20170317110202,7/1 ARM Jumbo,0.035
20170318033929,30-Year Fixed Rate,0.04375
20170318033929,30-Year Fixed-Rate FHA,0.045
20170318033929,30-Year Fixed-Rate VA,0.04125
20170318033929,15-Year Fixed Rate,0.03625
20170318033929,7/1 ARM,0.0375
20170318033929,5/1 ARM,0.03625
20170318033929,30-Year Fixed-Rate Jumbo,0.0425
20170318033929,15-Year Fixed-Rate Jumbo,0.04
20170318033929,7/1 ARM Jumbo,0.035
20170318033929,30-Year Fixed Rate,0.04375
20170318033929,30-Year Fixed-Rate FHA,0.045
20170318033929,30-Year Fixed-Rate VA,0.04125
20170318033929,15-Year Fixed Rate,0.03625
20170318033929,7/1 ARM,0.0375
20170318033929,5/1 ARM,0.03625
20170318033929,30-Year Fixed-Rate Jumbo,0.0425
20170318033929,15-Year Fixed-Rate Jumbo,0.04
20170318033929,7/1 ARM Jumbo,0.035
20170325041951,30-Year Fixed Rate,0.0425
20170325041951,30-Year Fixed-Rate FHA,0.04375
20170325041951,30-Year Fixed-Rate VA,0.04
20170325041951,15-Year Fixed Rate,0.03625
20170325041951,7/1 ARM,0.0375
20170325041951,5/1 ARM,0.03625
20170325041951,30-Year Fixed-Rate Jumbo,0.04125
20170325041951,15-Year Fixed-Rate Jumbo,0.03875
20170325041951,7/1 ARM Jumbo,0.035
20170325041951,30-Year Fixed Rate,0.0425
20170325041951,30-Year Fixed-Rate FHA,0.04375
20170325041951,30-Year Fixed-Rate VA,0.04
20170325041951,15-Year Fixed Rate,0.03625
20170325041951,7/1 ARM,0.0375
20170325041951,5/1 ARM,0.03625
20170325041951,30-Year Fixed-Rate Jumbo,0.04125
20170325041951,15-Year Fixed-Rate Jumbo,0.03875
20170325041951,7/1 ARM Jumbo,0.035
20170401045520,30-Year Fixed Rate,0.0425
20170401045520,30-Year Fixed-Rate FHA,0.04375
20170401045520,30-Year Fixed-Rate VA,0.04
20170401045520,15-Year Fixed Rate,0.03625
20170401045520,7/1 ARM,0.0375
20170401045520,5/1 ARM,0.03625
20170401045520,30-Year Fixed-Rate Jumbo,0.04125
20170401045520,15-Year Fixed-Rate Jumbo,0.03875
20170401045520,7/1 ARM Jumbo,0.035
20170401045520,30-Year Fixed Rate,0.0425
20170401045520,30-Year Fixed-Rate FHA,0.04375
20170401045520,30-Year Fixed-Rate VA,0.04
20170401045520,15-Year Fixed Rate,0.03625
20170401045520,7/1 ARM,0.0375
20170401045520,5/1 ARM,0.03625
20170401045520,30-Year Fixed-Rate Jumbo,0.04125
20170401045520,15-Year Fixed-Rate Jumbo,0.03875
20170401045520,7/1 ARM Jumbo,0.035
20170406194553,30-Year Fixed Rate,0.04125
20170406194553,30-Year Fixed-Rate FHA,0.04375
20170406194553,30-Year Fixed-Rate VA,0.04
